Id,StageName,Amount,Product,Competitor,Account,Vertical
4442,Prove,"$56,196.00","Learning, Policy Management",SNFCourse,New Heights SNF Center 3442,SNF
4443,Prove,"$10,679.00",XM,MedTeach,Lake Ridge Home Care Center 3443,HC
4444,Prove,"$31,490.00","Learning, Policy Management",CareEd,Grand Springs Home Care Center 3444,HC
4445,Negotiate,"$49,409.00",Policy Management,CareEd,Lake Springs SNF Center 3445,SNF
4446,Identify,"$75,665.00","Learning, Regulation Management, Compliance, XM",SNFCourse,New Ridge SNF Center 3446,SNF
4447,Identify,"$17,120.00",Learning,MedTeach,Grand Harbor Home Health Center 3447,HH
4448,Engage,"$67,622.00","Learning, Assessments",MedTeach,Oak Harbor Home Care Center 3448,HC
4449,Prove,"$8,002.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Grand Creek Assisted Living Center 3449,AL
4450,Identify,"$20,673.00","Compliance, XM",SNFCourse,Oak Harbor Assisted Living Center 3450,AL
4451,Closed Lost,"$31,748.00",Learning,CareEd,Grand Harbor Home Care Center 3451,HC
4452,Identify,"$31,316.00","Learning, Regulation Management",SNFCourse,West Creek SNF Center 3452,SNF
4453,Closed Won,"$28,826.00","Learning, Assessments",CareEd,Oak Point SNF Center 3453,SNF
4454,Engage,"$5,006.00","Learning, XM",SNFCourse,Lake Harbor Home Health Center 3454,HH
4455,Closed Lost,"$27,386.00",Learning,SNFCourse,South Harbor Home Health Center 3455,HH
4456,Engage,"$48,948.00","Learning, Assessments",SNFCourse,West Haven SNF Center 3456,SNF
4457,Prove,"$41,669.00","Learning, Assessments",SNFCourse,Lake Point Assisted Living Center 3457,AL
4458,Prove,"$35,600.00",Learning,InsightsAct,North Springs Assisted Living Center 3458,AL
4459,Identify,"$58,912.00","Learning, Regulation Management, Compliance, XM",MedTeach,Lake Haven SNF Center 3459,SNF
4460,Engage,"$63,323.00","Learning, Assessments",InsightsAct,Lake Creek Home Care Center 3460,HC
4461,Prove,"$81,126.00","Compliance, XM",SNFCourse,River Springs Home Care Center 3461,HC
4462,Identify,"$41,100.00","Learning, Regulation Management",CareEd,New View Assisted Living Center 3462,AL
4463,Identify,"$31,263.00",Learning,InsightsAct,Oak Creek SNF Center 3463,SNF
4464,Engage,"$81,047.00",Learning,MedTeach,Pine View SNF Center 3464,SNF
4465,Engage,"$83,057.00",XM,CareEd,East Haven Home Health Center 3465,HH
4466,Closed Won,"$43,653.00","Learning, Regulation Management",MedTeach,Pine Valley Home Health Center 3466,HH
4467,Identify,"$34,189.00","Compliance, XM",CareEd,New Haven Home Health Center 3467,HH
4468,Prove,"$65,638.00","Learning, Assessments",CareEd,Lake Point Home Health Center 3468,HH
4469,Identify,"$30,146.00","Learning, Assessments",MedTeach,East Ridge Home Care Center 3469,HC
4470,Prove,"$26,486.00",Learning,CareEd,River Ridge Assisted Living Center 3470,AL
4471,Negotiate,"$25,228.00","Learning, Assessments",InsightsAct,Grand Grove SNF Center 3471,SNF
4472,Prove,"$52,162.00","Compliance, XM",CareEd,River Haven Home Health Center 3472,HH
4473,Engage,"$15,721.00","Compliance, XM",CareEd,East Creek Home Health Center 3473,HH
4474,Prove,"$50,233.00",XM,SNFCourse,North Ridge Home Health Center 3474,HH
4475,Closed Won,"$12,409.00",Learning,InsightsAct,New Point Assisted Living Center 3475,AL
4476,Prove,"$60,242.00","Learning, XM",MedTeach,South View Assisted Living Center 3476,AL
4477,Engage,"$52,175.00","Learning, Assessments",MedTeach,River Valley Home Health Center 3477,HH
4478,Identify,"$8,284.00","Learning, Regulation Management, Compliance, XM",SNFCourse,South Harbor SNF Center 3478,SNF
4479,Identify,"$53,269.00",Learning,InsightsAct,South Valley Assisted Living Center 3479,AL
4480,Negotiate,"$56,553.00","Learning, XM",InsightsAct,North Heights Home Care Center 3480,HC
4481,Identify,"$81,494.00","Learning, Assessments",CareEd,East Grove SNF Center 3481,SNF
4482,Negotiate,"$35,782.00",Learning,SNFCourse,Grand Harbor Home Care Center 3482,HC
4483,Prove,"$29,470.00","Learning, Regulation Management, Compliance, XM",MedTeach,River Springs SNF Center 3483,SNF
4484,Identify,"$7,867.00",Learning,SNFCourse,Lake Springs Home Health Center 3484,HH
4485,Closed Lost,"$82,718.00",Learning,SNFCourse,Oak Point Assisted Living Center 3485,AL
4486,Negotiate,"$68,086.00","Learning, Policy Management",SNFCourse,Lake Haven Assisted Living Center 3486,AL
4487,Negotiate,"$49,052.00","Compliance, XM",SNFCourse,South View Home Health Center 3487,HH
4488,Closed Won,"$43,901.00","Compliance, XM",SNFCourse,West Springs Assisted Living Center 3488,AL
4489,Prove,"$64,952.00","Learning, Regulation Management",CareEd,North Springs Assisted Living Center 3489,AL
4490,Negotiate,"$35,272.00","Learning, Policy Management",SNFCourse,Oak Harbor Assisted Living Center 3490,AL
4491,Prove,"$6,167.00",XM,SNFCourse,River Springs Assisted Living Center 3491,AL
4492,Identify,"$8,047.00",Policy Management,CareEd,New Creek Home Health Center 3492,HH
4493,Prove,"$2,073.00",Policy Management,SNFCourse,Oak Ridge Assisted Living Center 3493,AL
4494,Negotiate,"$36,886.00","Compliance, XM",InsightsAct,Grand Point Home Care Center 3494,HC
4495,Identify,"$36,106.00",Policy Management,InsightsAct,New Creek Assisted Living Center 3495,AL
4496,Prove,"$8,697.00",Learning,MedTeach,Lake Grove Home Health Center 3496,HH
4497,Engage,"$76,694.00","Learning, XM",CareEd,East Creek Home Health Center 3497,HH
4498,Engage,"$73,249.00","Learning, Assessments",SNFCourse,River Point Home Health Center 3498,HH
4499,Closed Lost,"$48,859.00","Compliance, XM",CareEd,Lake Point SNF Center 3499,SNF
4500,Identify,"$1,596.00","Learning, Policy Management",SNFCourse,Lake View Home Health Center 3500,HH
4501,Prove,"$58,621.00","Learning, Regulation Management",CareEd,Pine Ridge Assisted Living Center 3501,AL
4502,Identify,"$31,236.00","Learning, Assessments",MedTeach,North Point Home Health Center 3502,HH
4503,Engage,"$67,567.00","Learning, XM",CareEd,Pine Valley Home Health Center 3503,HH
4504,Prove,"$52,165.00","Learning, XM",CareEd,River Creek SNF Center 3504,SNF
4505,Prove,"$12,153.00","Compliance, XM",MedTeach,Lake Springs SNF Center 3505,SNF
4506,Closed Won,"$75,913.00",Learning,SNFCourse,East Haven Home Care Center 3506,HC
4507,Closed Won,"$43,848.00",Learning,CareEd,Lake Grove Home Care Center 3507,HC
4508,Closed Won,"$50,915.00","Learning, Regulation Management",InsightsAct,North Valley SNF Center 3508,SNF
4509,Prove,"$19,367.00","Learning, Assessments",InsightsAct,Pine Heights Home Care Center 3509,HC
4510,Engage,"$44,915.00","Learning, Assessments",InsightsAct,North Valley Assisted Living Center 3510,AL
4511,Closed Won,"$50,199.00",XM,SNFCourse,East Heights Home Health Center 3511,HH
4512,Engage,"$82,449.00","Learning, Regulation Management",MedTeach,Lake Ridge Home Care Center 3512,HC
4513,Prove,"$63,296.00","Learning, XM",InsightsAct,South Point SNF Center 3513,SNF
4514,Prove,"$67,372.00",Learning,InsightsAct,Oak Ridge Home Care Center 3514,HC
4515,Negotiate,"$20,501.00","Learning, Assessments",InsightsAct,West Valley Home Health Center 3515,HH
4516,Engage,"$66,645.00","Learning, XM",SNFCourse,Pine Grove Home Care Center 3516,HC
4517,Engage,"$12,911.00",Learning,SNFCourse,Pine Valley SNF Center 3517,SNF
4518,Engage,"$68,562.00","Learning, Regulation Management",InsightsAct,North Grove Home Health Center 3518,HH
4519,Identify,"$30,516.00",Policy Management,CareEd,South Creek Home Health Center 3519,HH
4520,Engage,"$11,903.00","Learning, XM",CareEd,Lake Harbor SNF Center 3520,SNF
4521,Closed Lost,"$61,177.00",Learning,MedTeach,West Heights Home Health Center 3521,HH
4522,Prove,"$70,294.00",Learning,CareEd,Lake View Assisted Living Center 3522,AL
4523,Identify,"$56,226.00","Learning, Assessments",InsightsAct,River Harbor SNF Center 3523,SNF
4524,Prove,"$14,831.00","Learning, Policy Management",MedTeach,Pine View SNF Center 3524,SNF
4525,Closed Lost,"$28,132.00",Policy Management,CareEd,Grand Point SNF Center 3525,SNF
4526,Closed Won,"$2,824.00","Learning, Regulation Management, Compliance, XM",MedTeach,River Creek SNF Center 3526,SNF
4527,Engage,"$56,430.00","Learning, Regulation Management, Compliance, XM",SNFCourse,West Harbor Assisted Living Center 3527,AL
4528,Closed Won,"$10,947.00",Learning,SNFCourse,North Ridge Home Health Center 3528,HH
4529,Negotiate,"$67,982.00","Learning, Assessments",MedTeach,East Heights Home Care Center 3529,HC
4530,Closed Won,"$59,337.00",XM,InsightsAct,Lake Ridge Assisted Living Center 3530,AL
4531,Prove,"$2,069.00","Learning, Assessments",MedTeach,Lake Springs Assisted Living Center 3531,AL
4532,Closed Won,"$9,366.00","Learning, Regulation Management, Compliance, XM",MedTeach,South Point Assisted Living Center 3532,AL
4533,Identify,"$2,501.00","Learning, Regulation Management",MedTeach,North Haven Assisted Living Center 3533,AL
4534,Identify,"$53,695.00","Learning, Assessments",CareEd,West Springs Assisted Living Center 3534,AL
4535,Negotiate,"$68,526.00","Learning, Policy Management",SNFCourse,North Harbor SNF Center 3535,SNF
4536,Prove,"$68,566.00","Learning, Policy Management",SNFCourse,Lake Grove Home Care Center 3536,HC
4537,Closed Won,"$37,750.00",Policy Management,SNFCourse,New Grove Home Care Center 3537,HC
4538,Identify,"$6,351.00","Learning, Assessments",InsightsAct,Grand View SNF Center 3538,SNF
4539,Closed Lost,"$70,831.00","Learning, Regulation Management",CareEd,North Springs Assisted Living Center 3539,AL
4540,Engage,"$45,099.00","Learning, Assessments",MedTeach,Oak Creek Home Health Center 3540,HH
4541,Identify,"$62,066.00",Policy Management,MedTeach,East Harbor Assisted Living Center 3541,AL
4542,Engage,"$9,353.00","Learning, XM",MedTeach,East View Home Care Center 3542,HC
4543,Negotiate,"$48,139.00",XM,MedTeach,East Ridge Assisted Living Center 3543,AL
4544,Closed Lost,"$27,671.00","Learning, Assessments",SNFCourse,Oak Haven Home Health Center 3544,HH
4545,Identify,"$15,659.00",Learning,CareEd,North Harbor Home Care Center 3545,HC
4546,Engage,"$76,970.00",Policy Management,MedTeach,South Heights Home Care Center 3546,HC
4547,Prove,"$50,195.00","Learning, Assessments",SNFCourse,West View SNF Center 3547,SNF
4548,Engage,"$55,166.00","Learning, Policy Management",SNFCourse,Lake Creek Assisted Living Center 3548,AL
4549,Prove,"$83,272.00","Learning, Policy Management",CareEd,Lake Harbor Home Care Center 3549,HC
4550,Identify,"$25,942.00","Learning, Regulation Management",CareEd,Oak View SNF Center 3550,SNF
4551,Prove,"$10,071.00","Learning, Regulation Management",SNFCourse,Oak Creek Home Health Center 3551,HH
4552,Identify,"$46,675.00","Learning, Assessments",MedTeach,River Point Home Health Center 3552,HH
4553,Negotiate,"$56,335.00","Learning, Regulation Management, Compliance, XM",CareEd,Oak Creek SNF Center 3553,SNF
4554,Closed Lost,"$68,832.00","Learning, Assessments",CareEd,West Point SNF Center 3554,SNF
4555,Identify,"$39,009.00",Learning,SNFCourse,Oak View Assisted Living Center 3555,AL
4556,Engage,"$6,660.00","Learning, Policy Management",SNFCourse,Oak Springs Home Care Center 3556,HC
4557,Identify,"$77,412.00","Learning, Regulation Management, Compliance, XM",MedTeach,Oak Haven SNF Center 3557,SNF
4558,Engage,"$42,833.00","Learning, Regulation Management",CareEd,North Ridge Home Care Center 3558,HC
4559,Identify,"$25,877.00","Compliance, XM",MedTeach,New Creek Assisted Living Center 3559,AL
4560,Engage,"$56,718.00","Compliance, XM",SNFCourse,East Ridge Assisted Living Center 3560,AL
4561,Negotiate,"$52,292.00","Learning, Regulation Management, Compliance, XM",InsightsAct,River Springs Home Health Center 3561,HH
4562,Closed Lost,"$7,307.00",Policy Management,InsightsAct,South Valley Assisted Living Center 3562,AL
4563,Prove,"$15,481.00","Compliance, XM",MedTeach,East Ridge Assisted Living Center 3563,AL
4564,Prove,"$16,948.00","Learning, Regulation Management",MedTeach,New Haven Assisted Living Center 3564,AL
4565,Identify,"$31,625.00","Learning, Regulation Management, Compliance, XM",MedTeach,River Heights Assisted Living Center 3565,AL
4566,Identify,"$83,561.00",XM,CareEd,Lake Grove SNF Center 3566,SNF
4567,Prove,"$71,814.00","Learning, Policy Management",SNFCourse,South View Assisted Living Center 3567,AL
4568,Prove,"$22,150.00","Learning, XM",InsightsAct,Grand Grove Home Care Center 3568,HC
4569,Identify,"$14,246.00",Learning,MedTeach,Pine Grove SNF Center 3569,SNF
4570,Closed Won,"$40,223.00","Learning, Policy Management",CareEd,Grand Harbor Home Care Center 3570,HC
4571,Prove,"$21,674.00",Learning,SNFCourse,South Ridge Assisted Living Center 3571,AL
4572,Closed Won,"$80,998.00","Learning, Policy Management",CareEd,South Point SNF Center 3572,SNF
4573,Negotiate,"$5,975.00","Learning, Policy Management",MedTeach,Pine Creek SNF Center 3573,SNF
4574,Closed Lost,"$6,736.00",Learning,CareEd,West Creek SNF Center 3574,SNF
4575,Engage,"$11,134.00",XM,CareEd,East Haven Home Care Center 3575,HC
4576,Prove,"$27,484.00",XM,MedTeach,Grand Point Assisted Living Center 3576,AL
4577,Identify,"$45,631.00",Learning,CareEd,Grand Creek SNF Center 3577,SNF
4578,Engage,"$21,199.00","Learning, Regulation Management, Compliance, XM",SNFCourse,North View Home Care Center 3578,HC
4579,Identify,"$46,804.00",Learning,MedTeach,South Harbor Home Care Center 3579,HC
4580,Prove,"$10,777.00","Learning, XM",SNFCourse,North Springs Home Health Center 3580,HH
4581,Identify,"$69,278.00","Learning, Assessments",CareEd,North Point Home Health Center 3581,HH
4582,Identify,"$14,378.00","Learning, Assessments",SNFCourse,Pine Grove Assisted Living Center 3582,AL
4583,Negotiate,"$41,053.00",XM,CareEd,North Springs Home Care Center 3583,HC
4584,Identify,"$59,642.00",Policy Management,InsightsAct,West Haven Assisted Living Center 3584,AL
4585,Identify,"$16,812.00","Learning, Assessments",InsightsAct,South Valley Assisted Living Center 3585,AL
4586,Identify,"$16,850.00",Learning,InsightsAct,Grand Haven Home Health Center 3586,HH
4587,Closed Lost,"$32,486.00",Learning,InsightsAct,East Valley Home Health Center 3587,HH
4588,Identify,"$43,355.00","Learning, Policy Management",CareEd,River Harbor SNF Center 3588,SNF
4589,Negotiate,"$6,978.00",Learning,InsightsAct,West Springs Home Care Center 3589,HC
4590,Prove,"$28,195.00","Learning, Assessments",SNFCourse,West Grove Home Care Center 3590,HC
4591,Identify,"$57,831.00","Learning, Policy Management",SNFCourse,New Point Assisted Living Center 3591,AL
4592,Prove,"$34,974.00","Learning, Policy Management",SNFCourse,Oak Grove SNF Center 3592,SNF
4593,Engage,"$37,602.00","Learning, XM",MedTeach,North Grove Home Health Center 3593,HH
4594,Prove,"$23,712.00",Learning,SNFCourse,River View Home Health Center 3594,HH
4595,Closed Lost,"$31,178.00","Learning, Policy Management",SNFCourse,River View Home Health Center 3595,HH
4596,Identify,"$37,476.00",Policy Management,MedTeach,Lake Point Home Health Center 3596,HH
4597,Engage,"$74,986.00","Learning, Regulation Management",SNFCourse,West Heights Home Health Center 3597,HH
4598,Closed Won,"$25,029.00","Learning, Regulation Management",SNFCourse,River Springs Home Health Center 3598,HH
4599,Identify,"$44,052.00","Learning, Assessments",InsightsAct,Grand Grove Home Care Center 3599,HC
4600,Closed Won,"$63,630.00",Policy Management,SNFCourse,Lake Springs SNF Center 3600,SNF
4601,Prove,"$42,293.00",Policy Management,SNFCourse,Lake Harbor SNF Center 3601,SNF
4602,Closed Won,"$6,392.00","Compliance, XM",CareEd,East View SNF Center 3602,SNF
4603,Engage,"$74,714.00","Learning, XM",SNFCourse,Pine View Home Health Center 3603,HH
4604,Negotiate,"$66,532.00",Learning,SNFCourse,South Grove Home Care Center 3604,HC
4605,Prove,"$51,500.00","Learning, Regulation Management, Compliance, XM",MedTeach,West Heights Home Health Center 3605,HH
4606,Identify,"$60,750.00","Compliance, XM",SNFCourse,Grand Valley Home Health Center 3606,HH
4607,Identify,"$55,290.00","Compliance, XM",MedTeach,Pine Grove Home Health Center 3607,HH
4608,Closed Lost,"$56,993.00",Learning,SNFCourse,New Heights Home Care Center 3608,HC
4609,Negotiate,"$39,582.00",Learning,MedTeach,Pine View SNF Center 3609,SNF
4610,Closed Won,"$69,066.00","Learning, Policy Management",InsightsAct,South Ridge Home Care Center 3610,HC
4611,Prove,"$72,930.00","Learning, Regulation Management",MedTeach,Oak Heights SNF Center 3611,SNF
4612,Engage,"$38,923.00","Compliance, XM",InsightsAct,Lake Creek SNF Center 3612,SNF
4613,Negotiate,"$47,011.00","Learning, Regulation Management",MedTeach,East Grove Home Health Center 3613,HH
4614,Engage,"$52,531.00","Learning, Regulation Management, Compliance, XM",MedTeach,Grand Creek Home Health Center 3614,HH
4615,Prove,"$53,983.00","Learning, Policy Management",InsightsAct,North Valley Home Health Center 3615,HH
4616,Engage,"$32,025.00","Learning, Regulation Management",MedTeach,Oak View Assisted Living Center 3616,AL
4617,Closed Won,"$42,838.00","Learning, XM",MedTeach,River Point Assisted Living Center 3617,AL
4618,Closed Won,"$15,554.00",Policy Management,CareEd,Lake View Home Care Center 3618,HC
4619,Closed Lost,"$83,027.00",XM,SNFCourse,South Springs Home Care Center 3619,HC
4620,Negotiate,"$39,995.00","Learning, Policy Management",CareEd,East Point SNF Center 3620,SNF
4621,Prove,"$35,752.00",XM,CareEd,Lake Creek SNF Center 3621,SNF
4622,Engage,"$70,079.00","Learning, Regulation Management, Compliance, XM",InsightsAct,River Haven SNF Center 3622,SNF
4623,Negotiate,"$23,964.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Lake Point Home Health Center 3623,HH
4624,Engage,"$11,974.00",Learning,MedTeach,Pine Springs Home Care Center 3624,HC
4625,Identify,"$36,841.00","Learning, Policy Management",MedTeach,Grand Creek SNF Center 3625,SNF
4626,Negotiate,"$48,865.00","Compliance, XM",CareEd,East Ridge SNF Center 3626,SNF
4627,Identify,"$73,422.00","Learning, Regulation Management",CareEd,Pine Heights Assisted Living Center 3627,AL
4628,Closed Lost,"$57,797.00","Learning, Policy Management",CareEd,Grand Haven Assisted Living Center 3628,AL
4629,Prove,"$42,529.00","Learning, Regulation Management, Compliance, XM",CareEd,River Grove Assisted Living Center 3629,AL
4630,Negotiate,"$9,474.00",Learning,MedTeach,Lake Grove Home Health Center 3630,HH
4631,Closed Won,"$77,235.00","Learning, Regulation Management, Compliance, XM",MedTeach,River Grove Assisted Living Center 3631,AL
4632,Identify,"$11,039.00","Learning, Regulation Management, Compliance, XM",SNFCourse,New Heights Assisted Living Center 3632,AL
4633,Prove,"$27,710.00",XM,SNFCourse,West Haven Assisted Living Center 3633,AL
4634,Engage,"$9,171.00","Learning, Assessments",CareEd,Oak Heights Home Care Center 3634,HC
4635,Prove,"$58,972.00","Learning, Regulation Management",MedTeach,North Creek Home Care Center 3635,HC
4636,Negotiate,"$3,074.00",Policy Management,SNFCourse,Pine Point Assisted Living Center 3636,AL
4637,Identify,"$51,953.00","Learning, Assessments",SNFCourse,Grand Ridge Assisted Living Center 3637,AL
4638,Closed Lost,"$18,956.00",Learning,SNFCourse,East View Home Care Center 3638,HC
4639,Identify,"$37,646.00",Policy Management,MedTeach,Oak Haven Assisted Living Center 3639,AL
4640,Closed Won,"$33,700.00","Compliance, XM",SNFCourse,Oak Springs Home Care Center 3640,HC
4641,Negotiate,"$78,369.00","Learning, Regulation Management",MedTeach,River Springs Assisted Living Center 3641,AL
4642,Closed Lost,"$14,871.00","Learning, Policy Management",CareEd,East Haven Assisted Living Center 3642,AL
4643,Prove,"$20,091.00",Learning,InsightsAct,Pine Springs SNF Center 3643,SNF
4644,Identify,"$47,025.00","Learning, Regulation Management",MedTeach,Pine Haven Home Health Center 3644,HH
4645,Negotiate,"$47,764.00","Learning, Regulation Management, Compliance, XM",CareEd,Grand Ridge Assisted Living Center 3645,AL
4646,Engage,"$14,062.00","Learning, XM",MedTeach,Lake Ridge Home Health Center 3646,HH
4647,Closed Won,"$69,350.00",XM,MedTeach,South Valley Home Care Center 3647,HC
4648,Identify,"$40,057.00",Policy Management,CareEd,River Springs Home Health Center 3648,HH
4649,Identify,"$5,041.00","Learning, XM",MedTeach,Lake Grove SNF Center 3649,SNF
4650,Engage,"$29,459.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Lake Haven SNF Center 3650,SNF
4651,Negotiate,"$28,879.00",Policy Management,MedTeach,Grand Haven SNF Center 3651,SNF
4652,Identify,"$83,464.00","Learning, XM",InsightsAct,New View SNF Center 3652,SNF
4653,Identify,"$33,022.00",Policy Management,MedTeach,Grand Valley Home Care Center 3653,HC
4654,Closed Won,"$22,687.00",XM,InsightsAct,North Heights Home Health Center 3654,HH
4655,Negotiate,"$60,930.00",Learning,SNFCourse,South Heights SNF Center 3655,SNF
4656,Identify,"$14,141.00",Learning,CareEd,South Harbor Home Health Center 3656,HH
4657,Identify,"$80,865.00",Learning,InsightsAct,North Harbor Home Care Center 3657,HC
4658,Negotiate,"$22,566.00",Learning,InsightsAct,West Harbor Home Care Center 3658,HC
4659,Closed Won,"$36,039.00","Learning, Assessments",SNFCourse,East Ridge Home Care Center 3659,HC
4660,Identify,"$30,167.00",XM,SNFCourse,New Haven Assisted Living Center 3660,AL
4661,Identify,"$67,580.00",Learning,MedTeach,Pine Point SNF Center 3661,SNF
4662,Prove,"$68,751.00",Learning,MedTeach,New Valley SNF Center 3662,SNF
4663,Negotiate,"$34,319.00","Learning, Assessments",MedTeach,Pine View Assisted Living Center 3663,AL
4664,Prove,"$45,272.00",Policy Management,InsightsAct,North Harbor Home Care Center 3664,HC
4665,Negotiate,"$70,861.00","Learning, XM",SNFCourse,East View Assisted Living Center 3665,AL
4666,Closed Won,"$21,699.00","Learning, XM",SNFCourse,Pine Haven Assisted Living Center 3666,AL
4667,Engage,"$30,450.00","Learning, XM",CareEd,River Heights Home Care Center 3667,HC
4668,Identify,"$64,810.00",XM,MedTeach,Grand Heights Home Care Center 3668,HC
4669,Engage,"$49,885.00",Learning,MedTeach,New Grove Assisted Living Center 3669,AL
4670,Closed Won,"$56,267.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Lake Springs SNF Center 3670,SNF
4671,Engage,"$73,167.00","Learning, Policy Management",MedTeach,West Valley Home Health Center 3671,HH
4672,Closed Lost,"$23,196.00","Learning, Policy Management",InsightsAct,Pine Valley Assisted Living Center 3672,AL
4673,Identify,"$48,117.00",XM,MedTeach,Grand Springs Home Health Center 3673,HH
4674,Closed Lost,"$31,753.00","Learning, Regulation Management",SNFCourse,River Ridge Home Care Center 3674,HC
4675,Prove,"$66,428.00","Learning, Assessments",CareEd,Oak Point Assisted Living Center 3675,AL
4676,Identify,"$76,507.00",XM,MedTeach,Grand Point Home Health Center 3676,HH
4677,Prove,"$63,282.00","Learning, Assessments",SNFCourse,River Springs Home Care Center 3677,HC
4678,Closed Lost,"$53,751.00",XM,MedTeach,Lake View Assisted Living Center 3678,AL
4679,Identify,"$18,507.00",XM,MedTeach,North View Home Health Center 3679,HH
4680,Closed Won,"$53,329.00","Compliance, XM",MedTeach,River Grove Home Health Center 3680,HH
4681,Identify,"$26,647.00",Learning,SNFCourse,Pine View Home Care Center 3681,HC
4682,Closed Won,"$67,580.00","Learning, Assessments",SNFCourse,South Valley Home Care Center 3682,HC
4683,Closed Won,"$4,277.00","Learning, Regulation Management",SNFCourse,Pine View Home Health Center 3683,HH
4684,Prove,"$27,115.00","Learning, Regulation Management, Compliance, XM",CareEd,Lake Harbor Assisted Living Center 3684,AL
4685,Closed Lost,"$65,091.00",Learning,SNFCourse,Lake Heights SNF Center 3685,SNF
4686,Engage,"$79,529.00","Compliance, XM",SNFCourse,Grand Grove Assisted Living Center 3686,AL
4687,Identify,"$25,160.00",Learning,MedTeach,Lake Harbor Assisted Living Center 3687,AL
4688,Prove,"$79,060.00","Learning, Regulation Management, Compliance, XM",MedTeach,Grand Heights Home Health Center 3688,HH
4689,Negotiate,"$4,544.00",Learning,InsightsAct,New Heights Home Care Center 3689,HC
4690,Prove,"$70,454.00",Learning,InsightsAct,New Valley Assisted Living Center 3690,AL
4691,Identify,"$67,936.00","Learning, Regulation Management",MedTeach,Pine Harbor SNF Center 3691,SNF
4692,Identify,"$49,583.00","Learning, Regulation Management, Compliance, XM",MedTeach,New Harbor Assisted Living Center 3692,AL
4693,Identify,"$27,390.00","Compliance, XM",SNFCourse,New View Assisted Living Center 3693,AL
4694,Prove,"$76,623.00",XM,MedTeach,West Ridge Assisted Living Center 3694,AL
4695,Closed Won,"$40,438.00",Learning,SNFCourse,Pine Point Home Care Center 3695,HC
4696,Identify,"$23,731.00",Learning,InsightsAct,West Haven Home Health Center 3696,HH
4697,Engage,"$51,658.00",Learning,CareEd,North Haven Home Care Center 3697,HC
4698,Closed Won,"$77,452.00",XM,InsightsAct,Lake Springs SNF Center 3698,SNF
4699,Engage,"$44,046.00",Learning,CareEd,Grand Heights Assisted Living Center 3699,AL
4700,Engage,"$38,716.00","Learning, Assessments",MedTeach,North Grove Assisted Living Center 3700,AL
4701,Engage,"$9,040.00",Learning,SNFCourse,Pine View Home Health Center 3701,HH
4702,Negotiate,"$44,013.00","Compliance, XM",CareEd,Pine Grove SNF Center 3702,SNF
4703,Prove,"$82,362.00",Learning,SNFCourse,Lake Valley SNF Center 3703,SNF
4704,Engage,"$52,971.00","Learning, XM",InsightsAct,River Heights SNF Center 3704,SNF
4705,Engage,"$14,128.00",Policy Management,SNFCourse,Lake Harbor Home Care Center 3705,HC
4706,Identify,"$43,343.00","Learning, Policy Management",CareEd,Oak View Home Care Center 3706,HC
4707,Prove,"$82,518.00",Learning,SNFCourse,New Heights Assisted Living Center 3707,AL
4708,Prove,"$77,926.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Lake View Assisted Living Center 3708,AL
4709,Closed Won,"$71,618.00",Learning,CareEd,West Creek SNF Center 3709,SNF
4710,Identify,"$64,233.00",Learning,InsightsAct,New Haven SNF Center 3710,SNF
4711,Identify,"$80,203.00",Learning,CareEd,North Grove Assisted Living Center 3711,AL
4712,Prove,"$83,752.00",Policy Management,CareEd,East Springs Home Care Center 3712,HC
4713,Negotiate,"$78,788.00","Learning, Regulation Management, Compliance, XM",SNFCourse,New Grove SNF Center 3713,SNF
4714,Identify,"$55,257.00",Learning,InsightsAct,Grand Creek Home Care Center 3714,HC
4715,Engage,"$56,667.00",Learning,InsightsAct,Pine Springs Home Health Center 3715,HH
4716,Negotiate,"$13,577.00","Learning, Regulation Management",MedTeach,South Point SNF Center 3716,SNF
4717,Identify,"$55,039.00",Learning,InsightsAct,New Grove SNF Center 3717,SNF
4718,Prove,"$70,316.00","Learning, XM",CareEd,North Haven Assisted Living Center 3718,AL
4719,Prove,"$40,803.00",Learning,SNFCourse,East Haven Home Health Center 3719,HH
4720,Negotiate,"$79,606.00",Policy Management,CareEd,Grand Heights Home Health Center 3720,HH
4721,Engage,"$78,499.00","Compliance, XM",MedTeach,West Grove Home Health Center 3721,HH
4722,Identify,"$50,976.00",Policy Management,InsightsAct,West Ridge Assisted Living Center 3722,AL
4723,Engage,"$71,726.00","Learning, Policy Management",MedTeach,Grand Harbor Assisted Living Center 3723,AL
4724,Identify,"$56,732.00",Policy Management,InsightsAct,West Ridge Assisted Living Center 3724,AL
4725,Engage,"$74,314.00",Policy Management,InsightsAct,River Point Home Health Center 3725,HH
4726,Engage,"$40,813.00","Learning, XM",InsightsAct,River Heights SNF Center 3726,SNF
4727,Identify,"$4,738.00",XM,CareEd,River Harbor Home Care Center 3727,HC
4728,Engage,"$52,110.00","Compliance, XM",SNFCourse,North Haven Home Health Center 3728,HH
4729,Identify,"$60,191.00","Learning, Regulation Management",InsightsAct,North Valley Home Health Center 3729,HH
